Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2020-04-04 15:40:46][1] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 15:40:46][1] Processed:  App\Jobs\FetchFacebookConversation
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2020-04-04 16:44:39][127] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:40][126] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:40][129] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:40][127] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:40][128] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:41][129] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:41][130] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:41][130] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:41][132] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:41][128] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:41][131] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:42][132] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:42][134] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:42][131] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:42][133] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:42][133] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:42][135] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:43][134] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:43][136] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:43][135] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:43][137] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:44][136] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:44][138] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][138] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][140] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:44][137] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:44][139] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][140] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][142] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][139] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][141] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][141] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:45][143] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:46][142] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:46][144] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:47][144] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:47][145] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:47][145] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:47][147] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:47][143] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:47][146] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:48][147] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:48][149] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:48][146] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:48][148] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:49][149] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:49][151] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:50][151] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:50][153] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:49][148] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:49][150] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:49][150] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:49][152] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:50][153] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:50][155] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:50][152] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:50][154] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:51][155] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:51][157] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:51][154] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:51][156] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:52][157] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:52][159] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:52][156] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:52][158] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:53][159] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:53][161] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:53][158] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:53][160] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:54][160] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:54][162] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:54][161] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:54][163] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:54][162] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:54][164] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:55][163] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:55][165] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:55][165] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:55][167] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:55][164] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:55][166] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:56][167] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:56][169] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:56][166] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:56][168] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:57][168] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:57][170] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:57][169] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:57][171] Processing: App\Jobs\FetchFacebookConversation
